Date,Volume
17/03/1980,10924800
18/03/1980,17068800
19/03/1980,18508800
20/03/1980,11174400
21/03/1980,12172800
24/03/1980,8966400
25/03/1980,11347200
26/03/1980,16262400
27/03/1980,26918400
28/03/1980,20102400
31/03/1980,9004800
01/04/1980,8179200
02/04/1980,12556800
03/04/1980,6988800
07/04/1980,13478400
08/04/1980,29184000
09/04/1980,11558400
10/04/1980,14784000
11/04/1980,9523200
14/04/1980,8025600
15/04/1980,10598400
16/04/1980,10752000
17/04/1980,17702400
18/04/1980,18739200
21/04/1980,9043200
22/04/1980,20428800
23/04/1980,14822400
24/04/1980,8832000
25/04/1980,7104000
28/04/1980,6931200
29/04/1980,6297600
30/04/1980,7065600
01/05/1980,7008000
02/05/1980,5510400
05/05/1980,3513600
06/05/1980,6988800
07/05/1980,6393600
08/05/1980,7468800
09/05/1980,16684800
12/05/1980,8582400
13/05/1980,7372800
14/05/1980,4742400
15/05/1980,8102400
16/05/1980,4838400
19/05/1980,8640000
20/05/1980,21811200
21/05/1980,10540800
22/05/1980,5318400
23/05/1980,29779200
27/05/1980,8332800
28/05/1980,6700800
29/05/1980,7660800
30/05/1980,5721600
02/06/1980,6355200
03/06/1980,15244800
04/06/1980,7680000
05/06/1980,6470400
06/06/1980,28723200
09/06/1980,7545600
10/06/1980,17280000
11/06/1980,3206400
12/06/1980,10809600
13/06/1980,3590400
16/06/1980,7987200
17/06/1980,12864000
18/06/1980,8064000
19/06/1980,13689600
20/06/1980,7027200
23/06/1980,9888000
24/06/1980,9676800
25/06/1980,15494400
26/06/1980,10156800
27/06/1980,6912000
30/06/1980,5337600
01/07/1980,9811200
02/07/1980,6585600
03/07/1980,4550400
07/07/1980,19545600
08/07/1980,13190400
09/07/1980,9388800
10/07/1980,14092800
11/07/1980,9888000
14/07/1980,15052800
15/07/1980,20678400
16/07/1980,11692800
17/07/1980,15456000
18/07/1980,12576000
21/07/1980,14208000
22/07/1980,14150400
23/07/1980,8371200
24/07/1980,11616000
25/07/1980,22156800
28/07/1980,7372800
29/07/1980,11424000
30/07/1980,12614400
31/07/1980,24384000
01/08/1980,9523200
04/08/1980,5721600
05/08/1980,6720000
06/08/1980,11193600
07/08/1980,8812800
08/08/1980,5817600
11/08/1980,7276800
12/08/1980,22406400
13/08/1980,12153600
14/08/1980,8793600
15/08/1980,41011200
18/08/1980,7699200
19/08/1980,8889600
20/08/1980,11808000
21/08/1980,11251200
22/08/1980,38515200
25/08/1980,11174400
26/08/1980,20160000
27/08/1980,3513600
28/08/1980,6451200
29/08/1980,15552000
02/09/1980,6816000
03/09/1980,9292800
04/09/1980,16147200
05/09/1980,6259200
08/09/1980,4300800
09/09/1980,13632000
10/09/1980,10099200
11/09/1980,5990400
12/09/1980,4800000
15/09/1980,5337600
16/09/1980,9139200
17/09/1980,11577600
18/09/1980,14227200
19/09/1980,6086400
22/09/1980,8313600
23/09/1980,7142400
24/09/1980,10022400
25/09/1980,11520000
26/09/1980,9312000
29/09/1980,3801600
30/09/1980,6086400
01/10/1980,5971200
02/10/1980,4281600
03/10/1980,5068800
06/10/1980,10060800
07/10/1980,9158400
08/10/1980,25036800
09/10/1980,8697600
10/10/1980,6624000
13/10/1980,3235200
14/10/1980,6652800
15/10/1980,4416000
16/10/1980,5942400
17/10/1980,6988800
20/10/1980,6489600
21/10/1980,8908800
22/10/1980,5136000
23/10/1980,3206400
24/10/1980,4204800
27/10/1980,5769600
28/10/1980,4473600
29/10/1980,6844800
30/10/1980,54960000
31/10/1980,16579200
03/11/1980,18777600
05/11/1980,16108800
06/11/1980,20659200
07/11/1980,7334400
10/11/1980,8390400
11/11/1980,8620800
12/11/1980,13440000
13/11/1980,9753600
14/11/1980,12028800
17/11/1980,8515200
18/11/1980,8467200
19/11/1980,10387200
20/11/1980,11251200
21/11/1980,10684800
24/11/1980,8688000
25/11/1980,5990400
26/11/1980,5654400
28/11/1980,5088000
01/12/1980,5328000
02/12/1980,12768000
03/12/1980,7478400
04/12/1980,9398400
05/12/1980,12278400
08/12/1980,13363200
09/12/1980,20572800
10/12/1980,17558400
11/12/1980,23481600
12/12/1980,12460800
15/12/1980,8544000
16/12/1980,16425600
17/12/1980,15753600
18/12/1980,18508800
19/12/1980,31900800
22/12/1980,19526400
23/12/1980,17145600
24/12/1980,11808000
26/12/1980,4300800
29/12/1980,15782400
30/12/1980,8131200
31/12/1980,6624000
02/01/1981,7795200
05/01/1981,9187200
06/01/1981,16099200
07/01/1981,16857600
08/01/1981,12556800
09/01/1981,8332800
12/01/1981,13574400
13/01/1981,14630400
14/01/1981,5702400
15/01/1981,10051200
16/01/1981,12768000
19/01/1981,7180800
20/01/1981,7017600
21/01/1981,8976000
22/01/1981,7286400
23/01/1981,8803200
26/01/1981,11760000
27/01/1981,10070400
28/01/1981,6681600
29/01/1981,7516800
30/01/1981,8956800
02/02/1981,17433600
03/02/1981,11328000
04/02/1981,8448000
05/02/1981,11702400
06/02/1981,10963200
09/02/1981,9312000
10/02/1981,7132800
11/02/1981,6374400
12/02/1981,6873600
13/02/1981,5577600
17/02/1981,4819200
18/02/1981,11040000
19/02/1981,13948800
20/02/1981,16099200
23/02/1981,12768000
24/02/1981,18921600
25/02/1981,77721600
26/02/1981,32524800
27/02/1981,36057600
02/03/1981,19113600
03/03/1981,21110400
